side sector tile interfaceBoard ch
0 0 0 4 16
0 0 1 4 1
0 0 2 4 17
0 0 3 4 2
0 0 4 4 18
0 0 5 4 3
0 0 6 4 19
0 0 7 4 4
0 0 8 4 20
0 0 9 4 5
0 0 10 4 21
0 0 11 4 6
0 0 12 4 22
0 0 13 4 7
0 0 14 4 23
0 0 15 4 8
0 0 16 4 24
0 0 17 4 9
0 0 18 4 25
0 0 19 4 10
0 0 20 4 26
0 0 21 4 11
0 0 22 4 27
0 0 23 4 12
0 0 24 4 28
0 0 25 4 13
0 0 26 4 29
0 0 27 4 14
0 0 28 4 30
0 0 29 4 15
0 0 30 4 31
0 0 31 4 0
0 1 0 5 48
0 1 1 5 33
0 1 2 5 49
0 1 3 5 34
0 1 4 5 50
0 1 5 5 35
0 1 6 5 51
0 1 7 5 36
0 1 8 5 52
0 1 9 5 37
0 1 10 5 53
0 1 11 5 38
0 1 12 5 54
0 1 13 5 39
0 1 14 5 55
0 1 15 5 40
0 1 16 5 56
0 1 17 5 41
0 1 18 5 57
0 1 19 5 42
0 1 20 5 58
0 1 21 5 43
0 1 22 5 59
0 1 23 5 44
0 1 24 5 60
0 1 25 5 45
0 1 26 5 61
0 1 27 5 46
0 1 28 5 62
0 1 29 5 47
0 1 30 5 63
0 1 31 5 32
0 2 0 5 16
0 2 1 5 1
0 2 2 5 17
0 2 3 5 2
0 2 4 5 18
0 2 5 5 3
0 2 6 5 19
0 2 7 5 4
0 2 8 5 20
0 2 9 5 5
0 2 10 5 21
0 2 11 5 6
0 2 12 5 22
0 2 13 5 7
0 2 14 5 23
0 2 15 5 8
0 2 16 5 24
0 2 17 5 9
0 2 18 5 25
0 2 19 5 10
0 2 20 5 26
0 2 21 5 11
0 2 22 5 27
0 2 23 5 12
0 2 24 5 28
0 2 25 5 13
0 2 26 5 29
0 2 27 5 14
0 2 28 5 30
0 2 29 5 15
0 2 30 5 31
0 2 31 5 0
0 3 0 3 48
0 3 1 3 33
0 3 2 3 49
0 3 3 3 34
0 3 4 3 50
0 3 5 3 35
0 3 6 3 51
0 3 7 3 36
0 3 8 3 52
0 3 9 3 37
0 3 10 3 53
0 3 11 3 38
0 3 12 3 54
0 3 13 3 39
0 3 14 3 55
0 3 15 3 40
0 3 16 3 56
0 3 17 3 41
0 3 18 3 57
0 3 19 3 42
0 3 20 3 58
0 3 21 3 43
0 3 22 3 59
0 3 23 3 44
0 3 24 3 60
0 3 25 3 45
0 3 26 3 61
0 3 27 3 46
0 3 28 3 62
0 3 29 3 47
0 3 30 3 63
0 3 31 3 32
0 4 0 3 16
0 4 1 3 1
0 4 2 3 17
0 4 3 3 2
0 4 4 3 18
0 4 5 3 3
0 4 6 3 19
0 4 7 3 4
0 4 8 3 20
0 4 9 3 5
0 4 10 3 21
0 4 11 3 6
0 4 12 3 22
0 4 13 3 7
0 4 14 3 23
0 4 15 3 8
0 4 16 3 24
0 4 17 3 9
0 4 18 3 25
0 4 19 3 10
0 4 20 3 26
0 4 21 3 11
0 4 22 3 27
0 4 23 3 12
0 4 24 3 28
0 4 25 3 13
0 4 26 3 29
0 4 27 3 14
0 4 28 3 30
0 4 29 3 15
0 4 30 3 31
0 4 31 3 0
0 5 0 1 48
0 5 1 1 33
0 5 2 1 49
0 5 3 1 34
0 5 4 1 50
0 5 5 1 35
0 5 6 1 51
0 5 7 1 36
0 5 8 1 52
0 5 9 1 37
0 5 10 1 53
0 5 11 1 38
0 5 12 1 54
0 5 13 1 39
0 5 14 1 55
0 5 15 1 40
0 5 16 1 56
0 5 17 1 41
0 5 18 1 57
0 5 19 1 42
0 5 20 1 58
0 5 21 1 43
0 5 22 1 59
0 5 23 1 44
0 5 24 1 60
0 5 25 1 45
0 5 26 1 61
0 5 27 1 46
0 5 28 1 62
0 5 29 1 47
